Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
bomba-hidraulica-dupla-valtra-valmet-bh160,"Bomba Hidráulica Dupla Valtra-Valmet BH160","<p>Bomba hidráulica dupla de alta performance para tratores VALTRA-VALMET modelo BH160. Fabricada com certificação ISO 9001, 14001 e 18001 pela SOHIPREN S.A. (marca LIVENZA). Posicionamento de montagem arbitrário, ideal para sistemas de levante e direção hidráulica.</p><h3>Especificações Técnicas</h3><ul><li>Caudal Bomba I: 22,5 l/min a 2000 RPM</li><li>Caudal Bomba II: 45 l/min a 2000 RPM</li><li>Deslocamento I: 32 cm³/rev</li><li>Sentido de Giro: Esquerdo</li><li>Pressão Mínima de Entrada: 0,7 BAR (Absoluta)</li><li>Pressão Máxima de Entrada: 2 BAR (Relativa)</li><li>Temperatura do Óleo: Até 80ºC</li></ul><h3>Compatibilidade</h3><ul><li>VALTRA-VALMET BH160</li></ul>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,valtra,valmet,dupla,BH160,disponivel",true,Título,Padrão,5.0220.0548824-2,shopify,12,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica Dupla Valtra-Valmet BH160,active
bomba-hidraulica-cnh-a008-ford-new-holland,"Bomba Hidráulica CNH A-008 Ford New Holland TB/TS","<p>Bomba hidráulica para sistema hidráulico e direção, aplicação CNH A-008. Compatível com grande linha de tratores Ford - New Holland séries TB e TS. OEM alternativo: FONN600BB, 82983657, 81871528.</p><h3>Especificações Técnicas</h3><ul><li>Caudal Bomba I: 15,1 l/min a 2000 RPM</li><li>Caudal Bomba II: 14,9 l/min a 2000 RPM</li><li>Sentido de Giro: Direito</li><li>Temperatura do Óleo: Até 80ºC</li></ul><h3>Compatibilidade</h3><p>FORD - NEW HOLLAND: TB80, TB85, TB90, TB100, TB110, TB120, TS80, TS90, TS100, TS110, TS115, 5610, 5640, 6610, 6640, 6810, 7010, 7610, 7740, 7840, 8010, 8240, 8340</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,ford,new-holland,CNH,TB,TS,disponivel",true,Título,Padrão,5.1301.0565008,shopify,18,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica CNH A-008,active
bomba-hidraulica-cnh-a017-ford-new-holland-ts6000,"Bomba Hidráulica CNH A-017 Ford New Holland TS6000","<p>Bomba hidráulica dupla para sistema hidráulico e direção, aplicação CNH A-017. Desenvolvida para a linha TS6000 da New Holland. Certificação ISO 9001:2008.</p><h3>Especificações</h3><ul><li>Caudal Bomba I: 20,7 l/min a 2000 RPM</li><li>Caudal Bomba II: 11,1 l/min a 2000 RPM</li><li>Deslocamento I: 41,4 cm³/rev — Deslocamento II: 22,2 cm³/rev</li><li>Sentido de Giro: Direito</li></ul><h3>Compatibilidade</h3><p>FORD - NEW HOLLAND: 5610S, 6610S, 7610S, TS6000, TS6020, TS6030, TS6040</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,ford,new-holland,CNH,TS6000,baixo-estoque",true,Título,Padrão,5.1301.0565017,shopify,7,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica CNH A-017,active
bomba-hidraulica-cnh-a024-new-holland-t6,"Bomba Hidráulica CNH A-024 New Holland T6 Series","<p>Bomba hidráulica para sistema hidráulico e direção, aplicação CNH A-024. Específica para a linha T6 da New Holland, com certificação ISO 9001, 14001 e 18001.</p><h3>Especificações</h3><ul><li>Caudal Bomba I: 20,7 l/min a 2000 RPM — Caudal Bomba II: 14,9 l/min a 2000 RPM</li><li>Deslocamento I: 41,4 cm³/rev — Deslocamento II: 29,8 cm³/rev</li><li>Sentido de Giro: Direito</li></ul><h3>Compatibilidade</h3><p>FORD - NEW HOLLAND: T6.110, T6.110 (4WD), T6.120, T6.120 (4WD), T6.125, T6.130 (4WD), T6.140</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,new-holland,T6,CNH,disponivel",true,Título,Padrão,5.1301.0565035,shopify,25,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica CNH A-024 New Holland T6,active
bomba-hidraulica-john-deere-a003-serie-6000,"Bomba Hidráulica Principal John Deere A-003 Série 6000","<p>Bomba hidráulica principal para tratores John Deere série 6000. OEM alternativo: AL156335, AL200830, AL117812. Alta durabilidade para operações exigentes no campo.</p><h3>Especificações</h3><ul><li>Caudal Bomba I: 56 l/min a 2000 RPM — Caudal Bomba II: 28 l/min a 2000 RPM</li><li>Sentido de Giro: Direito — Temperatura do Óleo: Até 80ºC</li></ul><h3>Compatibilidade</h3><p>JOHN DEERE: 6010, SE6010, 6020, SE6020, 6110, 6120, 6210, 6215, 6220, 6310, 6320, 6410, 6415, 6420, 6510, 6520, 6610, 6615, 6620, 6715, 7330</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,john-deere,série-6000,JD,baixo-estoque",true,Título,Padrão,5.1305.0565036,shopify,9,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica John Deere A-003 Série 6000,active
bomba-direcao-levante-john-deere-a004,"Bomba Direção e Levante John Deere A-004 Série 5000/6000","<p>Bomba hidráulica dupla para direção e levante, aplicação JD A-004. Atende a extensa linha de tratores John Deere séries 5000 e 6000. Certificação ISO 9001, 14001 e 18001.</p><h3>Especificações</h3><ul><li>Caudal Bomba I (Direção): 25 l/min a 2000 RPM — Caudal Bomba II (Levante): 12 l/min a 2000 RPM</li><li>Deslocamento I: 50 cm³/rev — Deslocamento II: 24 cm³/rev</li><li>Sentido de Giro: Esquerdo</li></ul><h3>Compatibilidade</h3><p>JOHN DEERE: 5210, 5215, 5310, 5315, 5403, 5410, 5415, 5420, 5425, 5510, 5515, 5520, 5603, 5605, 5615, 5625, 5705, 5715, 5725, 6045, 6077, 6081, 5076E, 5082E, 5083E, 5090E, 5093E, 5101E</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,john-deere,direção,levante,JD,série-5000,disponivel",true,Título,Padrão,5.1305.0565071,shopify,14,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Direção e Levante John Deere A-004,active
bomba-hidraulica-valtra-valmet-885-985-1280,"Bomba Hidráulica Principal Valtra-Valmet 885/985/1280","<p>Bomba hidráulica principal (BOI 22,5 E5.P.A2/16 A42.L1) para tratores VALTRA-VALMET. Posicionamento de montagem arbitrário. Certificação ISO 9001:2008 TÜV Rheinland.</p><h3>Especificações</h3><ul><li>Caudal Bomba I: 22,5 l/min a 2000 RPM — Caudal Bomba II: 16 l/min a 2000 RPM</li><li>Deslocamento I: 45 cm³/rev — Deslocamento II: 32 cm³/rev</li><li>Sentido de Giro: Esquerdo</li></ul><h3>Compatibilidade</h3><p>VALTRA-VALMET: 885 (4X4), 985 (4X4), 1280, 1480, 1580</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,valtra,valmet,885,985,disponivel",true,Título,Padrão,5.0220.0547201,shopify,20,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica Valtra-Valmet 885-985-1280,active
bomba-hidraulica-valtra-valmet-880-980-1780,"Bomba Hidráulica Principal Valtra-Valmet 880/980/1780","<p>Bomba hidráulica principal (BOI 22,5 E5.P.A2/11 A42.L1 - corpo traseiro invertido) para VALTRA-VALMET. Certificação ISO 9001:2000 TÜV Rheinland.</p><h3>Especificações</h3><ul><li>Caudal Bomba I: 22,5 l/min a 2000 RPM — Caudal Bomba II: 11 l/min a 2000 RPM</li><li>Deslocamento I: 45 cm³/rev — Deslocamento II: 22 cm³/rev</li><li>Sentido de Giro: Esquerdo — Torque de Ajuste: 6 kgm</li></ul><h3>Compatibilidade</h3><p>VALTRA-VALMET: 880 (4x4 El), 980 El, 880 (4x2 148), 1780</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,valtra,valmet,880,980,1780,baixo-estoque",true,Título,Padrão,5.0220.0547205,shopify,5,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica Valtra-Valmet 880-980-1780,active
bomba-hidraulica-valtra-valmet-118es-128-138-148,"Bomba Hidráulica Principal Valtra-Valmet 118ES/128/138/148","<p>Bomba hidráulica principal (BOI 22,5 E5.P.A2/16 A42.L1 - corpo traseiro invertido) para VALTRA-VALMET séries 100 e 140. Certificação ISO 9001:2008.</p><h3>Especificações</h3><ul><li>Caudal Bomba I: 22,5 l/min a 2000 RPM — Caudal Bomba II: 16 l/min a 2000 RPM</li><li>Deslocamento I: 45 cm³/rev — Deslocamento II: 32 cm³/rev — Sentido de Giro: Esquerdo</li></ul><h3>Compatibilidade</h3><p>VALTRA-VALMET: 118ES, 118 A4ES, 128, 128 (4X4), 138 4ES, 148 (4X4)</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,valtra,valmet,118,128,138,148,disponivel",true,Título,Padrão,5.0220.0547206,shopify,16,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica Valtra-Valmet 118ES-128-138-148,active
bomba-hidraulica-massey-ferguson-mf-a013,"Bomba Hidráulica Direção/Levante Massey Ferguson MF A-013","<p>Bomba hidráulica para direção e levante, aplicação MF A-013. Atende as séries 3000 e 6000 da Massey Ferguson. Certificação ISO 9001:2008.</p><h3>Especificações</h3><ul><li>Caudal Bomba I: 19 l/min a 2000 RPM — Caudal Bomba II: 11 l/min a 2000 RPM</li><li>Deslocamento I: 38 cm³/rev — Deslocamento II: 22 cm³/rev — Sentido de Giro: Esquerdo</li></ul><h3>Compatibilidade</h3><p>MASSEY FERGUSON: 3050, 3060, 3065, 3070, 3075, 3080, 3085, 3090, 3095, 3115, 3120, 3125, 3140, 6110, 6120, 6130, 6140, 6150, 6160, 6170, 6180, 6190, 6235, 6245, 6255, 6260, 6265, 6270, 6280, 6290</p>",APP Agro Peças Padrão,Industrial & Commercial > Machinery > Agricultural Machinery,Bombas Hidráulicas,"bomba,hidráulica,massey-ferguson,MF,direção,levante,disponivel",true,Título,Padrão,5.1302.0547820,shopify,11,deny,manual,true,false,https://cdn.shopify.com/placeholder.png,Bomba Hidráulica Massey Ferguson MF A-013,active
